Emotions,Arms,Chest,Hands,Head,Legs,Womb
anger,"[4, 9]","[4, 9]","[9, 15]","[4, 9]","[0, 4]","[0, 4]"
fear,"[0, 4]","[4, 9]","[0, 4]","[4, 9]","[0, 4]","[0, 4]"
happiness,"[4, 9]","[4, 9]","[4, 9]","[9, 15]","[4, 9]","[4, 9]"
sadness,"[-4, 0]","[0, 4]","[-4, 0]","[0, 4]","[-9, -4]","[-4, 0]"
disgust,"[0, 4]","[4, 9]","[0, 4]","[4, 9]","[-4, 0]","[0, 4]"
